unit,year,actual_crime,predicted_crime,used_features,Model
Mazowieckie,2024,21.68000030517578,26.790374755859375,"['unemployment', 'tourism_usage', 'inflation']",LSTM_exo_only
Małopolskie,2021,20.350000381469727,24.363616943359375,"['unemployment', 'tourism_usage']",LSTM_exo_only
Małopolskie,2022,21.889999389648438,25.07853126525879,"['unemployment', 'tourism_usage']",LSTM_exo_only
Małopolskie,2023,20.8799991607666,24.952632904052734,"['unemployment', 'tourism_usage']",LSTM_exo_only
Małopolskie,2024,24.389999389648438,24.72357940673828,"['unemployment', 'tourism_usage']",LSTM_exo_only
Opolskie,2021,18.15999984741211,20.95823097229004,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']",LSTM_exo_only
Opolskie,2022,17.34000015258789,19.16301727294922,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']",LSTM_exo_only
Opolskie,2023,16.459999084472656,20.450841903686523,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']",LSTM_exo_only
Opolskie,2024,17.010000228881836,20.856388092041016,"['unemployment', 'population_density', 'migration_balance', 'tourism_usage']",LSTM_exo_only
Podkarpackie,2021,13.90999984741211,12.28760051727295,"['avg_salary', 'public_safety_exp', 'migration_balance']",LSTM_exo_only
Podkarpackie,2022,12.930000305175781,11.812601089477539,"['avg_salary', 'public_safety_exp', 'migration_balance']",LSTM_exo_only
Podkarpackie,2023,11.5600004196167,11.38027286529541,"['avg_salary', 'public_safety_exp', 'migration_balance']",LSTM_exo_only
Podkarpackie,2024,11.75,10.978282928466797,"['avg_salary', 'public_safety_exp', 'migration_balance']",LSTM_exo_only
Podlaskie,2021,15.550000190734863,16.89894676208496,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']",LSTM_exo_only
Podlaskie,2022,19.440000534057617,17.756460189819336,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']",LSTM_exo_only
Podlaskie,2023,16.18000030517578,19.40424156188965,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']",LSTM_exo_only
Podlaskie,2024,14.6899995803833,20.405839920043945,"['unemployment', 'migration_balance', 'tourism_usage', 'inflation']",LSTM_exo_only
Pomorskie,2021,21.739999771118164,19.90435028076172,"['unemployment', 'public_safety_exp', 'tourism_usage']",LSTM_exo_only
Pomorskie,2022,23.25,19.295366287231445,"['unemployment', 'public_safety_exp', 'tourism_usage']",LSTM_exo_only
Pomorskie,2023,22.670000076293945,17.90154457092285,"['unemployment', 'public_safety_exp', 'tourism_usage']",LSTM_exo_only
Pomorskie,2024,21.469999313354492,16.859134674072266,"['unemployment', 'public_safety_exp', 'tourism_usage']",LSTM_exo_only
Warmińsko-Mazurskie,2021,18.40999984741211,20.323211669921875,"['population_density', 'avg_salary', 'migration_balance']",LSTM_exo_only
Warmińsko-Mazurskie,2022,19.850000381469727,21.24966812133789,"['population_density', 'avg_salary', 'migration_balance']",LSTM_exo_only
Warmińsko-Mazurskie,2023,18.639999389648438,21.94757843017578,"['population_density', 'avg_salary', 'migration_balance']",LSTM_exo_only
Warmińsko-Mazurskie,2024,20.739999771118164,21.802133560180664,"['population_density', 'avg_salary', 'migration_balance']",LSTM_exo_only
Wielkopolskie,2021,19.260000228881836,16.927034378051758,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']",LSTM_exo_only
Wielkopolskie,2022,18.899999618530273,16.768476486206055,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']",LSTM_exo_only
