unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,year,unit,predicted_crime,scenario
4.6,143.8,8867.46,302084870.48399997,1356576985.57,2318.0,42.5,103.3,2029,Dolnośląskie,26.43048349206349,public_safety_exp_x1.2
4.6,143.8,8867.46,251737392.07,1085261588.456,2318.0,42.5,103.3,2025,Dolnośląskie,26.43048349206349,education_exp_x0.8
4.6,143.8,8867.46,251737392.07,1085261588.456,2318.0,42.5,103.3,2026,Dolnośląskie,26.43048349206349,education_exp_x0.8
4.6,143.8,8867.46,251737392.07,1085261588.456,2318.0,42.5,103.3,2027,Dolnośląskie,26.43048349206349,education_exp_x0.8
4.6,143.8,8867.46,251737392.07,1085261588.456,2318.0,42.5,103.3,2028,Dolnośląskie,26.43048349206349,education_exp_x0.8
4.6,143.8,8867.46,251737392.07,1085261588.456,2318.0,42.5,103.3,2029,Dolnośląskie,26.43048349206349,education_exp_x0.8
4.6,143.8,8867.46,251737392.07,1627892382.6839998,2318.0,42.5,103.3,2025,Dolnośląskie,26.43048349206349,education_exp_x1.2
4.6,143.8,8867.46,251737392.07,1627892382.6839998,2318.0,42.5,103.3,2026,Dolnośląskie,26.43048349206349,education_exp_x1.2
4.6,143.8,8867.46,251737392.07,1627892382.6839998,2318.0,42.5,103.3,2027,Dolnośląskie,26.43048349206349,education_exp_x1.2
4.6,143.8,8867.46,251737392.07,1627892382.6839998,2318.0,42.5,103.3,2028,Dolnośląskie,26.43048349206349,education_exp_x1.2
4.6,143.8,8867.46,251737392.07,1627892382.6839998,2318.0,42.5,103.3,2029,Dolnośląskie,26.43048349206349,education_exp_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,1854.4,42.5,103.3,2025,Dolnośląskie,26.43048349206349,migration_balance_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,1854.4,42.5,103.3,2026,Dolnośląskie,26.43048349206349,migration_balance_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,1854.4,42.5,103.3,2027,Dolnośląskie,26.43048349206349,migration_balance_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,1854.4,42.5,103.3,2028,Dolnośląskie,26.43048349206349,migration_balance_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,1854.4,42.5,103.3,2029,Dolnośląskie,26.43048349206349,migration_balance_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2781.6,42.5,103.3,2025,Dolnośląskie,27.189605912698408,migration_balance_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2781.6,42.5,103.3,2026,Dolnośląskie,27.189605912698408,migration_balance_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2781.6,42.5,103.3,2027,Dolnośląskie,27.189605912698408,migration_balance_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2781.6,42.5,103.3,2028,Dolnośląskie,27.189605912698408,migration_balance_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2781.6,42.5,103.3,2029,Dolnośląskie,27.189605912698408,migration_balance_x1.2
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,34.0,103.3,2025,Dolnośląskie,26.522814920634914,tourism_usage_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,34.0,103.3,2026,Dolnośląskie,26.522814920634914,tourism_usage_x0.8
4.6,143.8,8867.46,251737392.07,1356576985.57,2318.0,34.0,103.3,2027,Dolnośląskie,26.522814920634914,tourism_usage_x0.8
