iter	Passed	Remaining
1027	210	403
1028	210	403
1029	210	403
1030	210	402
1031	211	402
1032	211	402
1033	211	402
1034	211	401
1035	211	401
1036	212	401
1037	212	401
1038	212	401
1039	212	400
1040	212	400
1041	213	400
1042	213	400
1043	213	400
1044	213	399
1045	213	399
1046	214	399
1047	214	399
1048	214	399
1049	214	398
1050	214	398
1051	215	398
1052	215	398
1053	215	397
1054	215	397
1055	215	397
1056	216	397
1057	216	397
1058	216	396
1059	216	396
1060	216	396
1061	217	396
1062	217	396
1063	217	395
1064	217	395
1065	217	395
1066	218	395
1067	218	395
1068	218	394
1069	218	394
1070	218	394
1071	219	394
1072	219	393
1073	219	393
1074	219	393
1075	219	393
1076	220	392
1077	220	392
1078	220	392
1079	220	392
1080	220	392
1081	221	391
1082	221	391
1083	221	391
1084	221	391
1085	221	390
1086	222	390
1087	222	390
1088	222	390
1089	222	390
1090	222	390
1091	223	389
1092	223	389
1093	223	389
1094	223	389
1095	223	389
1096	224	388
1097	224	388
1098	224	388
1099	224	388
1100	225	388
1101	225	387
1102	225	387
1103	225	387
1104	225	387
1105	226	387
1106	226	386
1107	226	386
1108	226	386
1109	226	386
1110	227	386
1111	227	385
1112	227	385
1113	227	385
1114	227	385
1115	227	384
1116	228	384
1117	228	384
1118	228	384
1119	228	383
1120	228	383
1121	229	383
1122	229	383
1123	229	383
1124	229	383
1125	230	382
1126	230	382
1127	230	382
1128	230	382
1129	230	382
1130	231	381
1131	231	381
1132	231	381
1133	231	381
1134	231	380
1135	232	380
1136	232	380
1137	232	380
1138	232	380
1139	232	380
1140	233	379
1141	233	379
1142	233	379
1143	233	379
1144	233	378
1145	234	378
1146	234	378
1147	234	378
1148	234	378
1149	234	378
1150	235	377
1151	235	377
1152	235	377
1153	235	377
1154	235	376
1155	236	377
1156	237	377
1157	237	377
1158	237	377
1159	237	376
1160	237	376
1161	237	376
1162	238	376
1163	238	375
1164	238	375
1165	238	375
1166	238	375
1167	239	375
1168	239	374
1169	239	374
1170	239	374
1171	239	374
1172	240	374
1173	240	373
1174	240	373
1175	240	373
1176	241	373
1177	241	373
1178	241	372
1179	241	372
1180	241	372
1181	241	372
1182	242	371
1183	242	371
1184	242	371
1185	242	371
1186	242	371
1187	243	370
1188	243	370
1189	243	370
1190	243	370
1191	243	370
1192	244	369
1193	244	369
1194	244	369
1195	244	369
1196	244	369
1197	245	368
1198	245	368
1199	245	368
1200	245	368
1201	245	367
1202	246	367
1203	246	367
1204	246	367
1205	246	367
1206	246	366
1207	247	366
1208	247	366
1209	247	366
1210	247	365
1211	247	365
1212	248	365
1213	248	365
1214	248	365
1215	248	364
1216	248	364
1217	249	364
1218	249	364
1219	249	364
1220	250	364
1221	250	364
1222	250	364
1223	250	363
1224	250	363
1225	251	363
1226	251	363
1227	251	363
1228	251	362
1229	252	362
1230	252	362
1231	252	362
1232	252	361
1233	252	361
1234	252	361
1235	253	361
1236	253	361
1237	253	360
1238	253	360
1239	253	360
1240	254	360
1241	254	359
1242	254	359
1243	254	359
1244	254	359
1245	254	358
1246	255	358
1247	255	358
1248	255	358
1249	255	357
1250	255	357
1251	256	357
1252	256	357
1253	256	357
1254	256	356
1255	256	356
1256	256	356
1257	257	356
1258	257	355
1259	257	355
1260	257	355
1261	258	355
1262	258	355
1263	258	354
1264	258	354
1265	258	354
1266	258	354
1267	259	353
1268	259	353
1269	259	353
1270	259	353
1271	259	353
1272	260	352
1273	260	352
1274	260	352
1275	260	352
1276	260	351
1277	261	351
1278	261	351
1279	261	351
1280	261	351
1281	262	351
1282	262	350
1283	262	350
1284	262	350
1285	263	350
1286	263	350
1287	263	350
1288	263	350
1289	263	349
1290	264	349
1291	264	349
1292	264	349
1293	264	349
1294	264	348
1295	265	348
1296	265	348
1297	265	348
1298	265	347
1299	265	347
1300	266	347
1301	266	347
1302	266	347
1303	266	346
1304	266	346
1305	267	346
1306	267	346
1307	267	345
1308	267	345
1309	267	345
1310	268	345
1311	268	345
1312	268	344
1313	268	344
1314	268	344
1315	268	344
1316	269	343
1317	269	343
1318	269	343
1319	269	343
1320	269	342
1321	270	342
1322	270	342
1323	270	342
1324	270	342
1325	270	341
1326	270	341
1327	271	341
1328	271	341
1329	271	340
1330	271	340
1331	271	340
1332	271	340
1333	272	339
1334	272	339
1335	272	339
1336	272	339
1337	272	338
1338	273	338
1339	273	338
1340	273	338
1341	273	338
1342	273	337
1343	273	337
1344	274	337
1345	274	337
1346	274	336
1347	274	336
1348	275	336
1349	275	336
1350	275	336
1351	275	335
1352	275	335
1353	275	335
1354	276	335
1355	276	335
1356	276	334
1357	276	334
1358	276	334
1359	277	334
1360	277	333
1361	277	333
1362	277	333
1363	277	333
1364	278	333
1365	278	332
1366	278	332
1367	278	332
1368	278	332
1369	278	331
1370	279	331
1371	279	331
1372	279	331
1373	279	331
1374	279	330
1375	280	330
1376	280	330
1377	280	330
1378	280	330
1379	280	329
1380	281	329
1381	281	329
1382	281	329
1383	281	328
1384	281	328
1385	282	328
1386	282	328
1387	282	328
1388	282	327
1389	282	327
1390	283	327
1391	283	327
1392	283	326
1393	283	326
1394	283	326
1395	283	326
1396	284	325
1397	284	325
1398	284	325
1399	284	325
1400	284	325
1401	285	325
1402	285	324
1403	285	324
1404	285	324
1405	285	324
1406	286	323
1407	286	323
1408	286	323
1409	286	323
1410	286	323
1411	287	322
1412	287	322
1413	287	322
1414	287	322
1415	287	321
1416	287	321
1417	288	321
1418	288	321
1419	288	321
1420	288	320
1421	288	320
1422	289	320
1423	289	320
1424	289	319
1425	289	319
1426	289	319
1427	289	319
1428	290	318
1429	290	318
1430	290	318
1431	290	318
1432	290	318
1433	291	317
1434	291	317
1435	291	317
1436	291	317
1437	291	317
1438	292	316
1439	292	316
1440	292	316
1441	292	316
1442	292	315
1443	292	315
1444	293	315
1445	293	315
1446	293	315
1447	293	314
1448	293	314
1449	294	314
1450	294	314
1451	294	313
1452	294	313
1453	294	313
1454	294	313
1455	295	312
1456	295	312
1457	295	312
1458	295	312
1459	295	312
1460	296	311
1461	296	311
1462	296	311
1463	296	311
1464	296	311
1465	297	310
1466	297	310
1467	297	310
1468	297	310
1469	297	309
1470	297	309
1471	298	309
1472	298	309
1473	298	309
1474	299	309
1475	299	308
1476	299	308
1477	299	308
1478	299	308
1479	300	308
1480	300	307
1481	300	307
1482	300	307
1483	300	307
1484	300	306
1485	301	306
1486	301	306
1487	301	306
1488	301	306
1489	301	306
1490	302	305
1491	302	305
1492	302	305
1493	302	305
1494	302	304
1495	303	304
1496	303	304
1497	303	304
1498	303	304
1499	303	303
1500	304	303
1501	304	303
1502	304	303
1503	304	302
1504	304	302
1505	304	302
1506	305	302
1507	305	302
1508	305	301
1509	305	301
1510	305	301
1511	306	301
1512	306	300
1513	306	300
1514	306	300
1515	306	300
1516	306	300
1517	307	299
1518	307	299
1519	307	299
1520	307	299
1521	307	298
1522	308	298
1523	308	298
1524	308	298
1525	308	298
1526	308	297
1527	309	297
1528	309	297
1529	309	297
1530	309	297
1531	309	296
1532	310	296
1533	310	296
1534	310	296
1535	310	296
1536	310	295
1537	310	295
1538	311	295
1539	311	295
1540	311	294
1541	311	294
1542	311	294
1543	312	294
1544	312	294
1545	312	293
1546	312	293
1547	312	293
1548	313	293
1549	313	292
1550	313	292
1551	313	292
1552	313	292
1553	313	292
1554	314	291
1555	314	291
1556	314	291
1557	314	291
1558	314	291
1559	315	290
1560	315	290
1561	315	290
1562	315	290
1563	315	289
1564	315	289
1565	316	289
1566	316	289
1567	316	289
1568	316	288
1569	316	288
1570	317	288
1571	317	288
1572	317	287
1573	317	287
1574	317	287
1575	318	287
1576	318	287
1577	318	286
1578	318	286
1579	318	286
1580	319	286
1581	319	286
1582	319	285
1583	319	285
1584	319	285
1585	319	285
1586	320	284
1587	320	284
1588	320	284
1589	320	284
1590	320	284
1591	321	283
1592	321	283
1593	321	283
1594	321	283
1595	321	283
1596	321	282
1597	322	282
1598	322	282
1599	322	282
1600	322	281
1601	322	281
1602	323	281
1603	323	281
1604	323	281
1605	323	280
1606	323	280
1607	323	280
1608	324	280
1609	324	279
1610	324	279
1611	324	279
1612	324	279
1613	325	279
1614	325	278
1615	325	278
1616	325	278
1617	325	278
1618	326	278
1619	326	277
1620	326	277
1621	326	277
1622	326	277
1623	327	277
1624	327	276
1625	327	276
1626	327	276
1627	327	276
1628	328	276
1629	328	275
1630	328	275
1631	328	275
1632	328	275
1633	328	274
1634	329	274
1635	329	274
1636	329	274
1637	329	274
1638	329	273
1639	330	273
1640	330	273
1641	330	273
1642	330	273
1643	330	272
1644	330	272
1645	331	272
1646	331	272
1647	331	271
1648	331	271
1649	331	271
1650	332	271
1651	332	271
1652	332	270
1653	332	270
1654	332	270
1655	333	270
1656	333	270
1657	333	269
1658	333	269
1659	333	269
1660	333	269
1661	334	268
1662	334	268
1663	334	268
1664	334	268
1665	334	268
1666	335	267
1667	335	267
1668	335	267
1669	335	267
1670	335	267
1671	336	266
1672	336	266
1673	336	266
1674	336	266
1675	336	266
