unit,year,predicted_crime,lower_bound,upper_bound
Śląskie,2025,20.223483996904037,16.686217715199454,23.76075027860862
Śląskie,2026,16.1149556117699,11.112505662458231,21.11740556108157
Śląskie,2027,11.780054017534173,5.653329097721591,17.906778937346754
Śląskie,2028,7.489186315039374,0.4146537516302091,14.56371887844854
Śląskie,2029,3.4074601784538743,0.0,11.317028038863242
Świętokrzyskie,2025,14.25972478119872,10.912554721219184,17.606894841178256
Świętokrzyskie,2026,12.430316367773415,7.696703073381189,17.16392966216564
Świętokrzyskie,2027,10.739776547147121,4.942307941689199,16.537245152605045
Świętokrzyskie,2028,9.149249182186926,2.4549090622278547,15.843589302145997
Świętokrzyskie,2029,7.711280879714597,0.22678109334830587,15.195780666080887
