year,unit,crime,unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,predicted_crime,used_features
2022,Wielkopolskie,18.9,2.9,117.1,6019.68,209603532.0,1276096808.97,910.0,36.2,115.2,24.204414564334407,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']"
2023,Wielkopolskie,18.36,3.0,116.9,6772.06,232039366.13,1547079705.73,879.0,35.5,111.6,24.204414564334407,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']"
2024,Wielkopolskie,18.55,3.0,116.7,7759.22,264407919.65,1904349445.48,487.0,36.9,104.0,24.276013815895233,"['unemployment', 'avg_salary', 'education_exp', 'migration_balance', 'inflation']"
2021,Zachodniopomorskie,24.11,7.3,72.0,5549.85,113503401.31,517842064.35,-224.0,42.8,104.8,30.092497421023538,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']"
2022,Zachodniopomorskie,22.28,6.7,71.6,6169.94,129924047.78,566664133.41,-341.0,49.7,113.1,30.092497421023538,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']"
2023,Zachodniopomorskie,21.27,6.7,71.2,7007.4,137110583.84,656933287.01,-346.0,49.5,112.7,30.092497421023538,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']"
2024,Zachodniopomorskie,20.33,6.8,70.8,8027.37,168983278.63,823042430.42,-35.0,50.9,103.8,29.740618984542238,"['unemployment', 'population_density', 'avg_salary', 'education_exp', 'inflation']"
2021,Łódzkie,22.8,6.1,131.5,5622.29,135597293.59,725060690.62,-2056.0,23.8,105.5,21.843978297145036,"['unemployment', 'public_safety_exp', 'tourism_usage']"
2022,Łódzkie,19.38,5.5,130.5,6210.68,152121459.94,762140366.63,-1755.0,38.2,116.1,21.131242774107157,"['unemployment', 'public_safety_exp', 'tourism_usage']"
2023,Łódzkie,20.99,5.4,129.7,7052.93,168504849.2,891190542.9,-1942.0,36.3,110.7,20.611747523835025,"['unemployment', 'public_safety_exp', 'tourism_usage']"
2024,Łódzkie,19.24,5.4,128.8,8096.32,202131259.06,1156752651.89,-1942.0,36.2,103.0,20.611747523835025,"['unemployment', 'public_safety_exp', 'tourism_usage']"
2021,Śląskie,27.59,4.3,354.8,5907.84,119135452.61,727844451.7,-4555.0,29.7,105.0,32.2118085988414,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']"
2022,Śląskie,35.08,3.7,352.4,6727.57,227424582.51,784976274.63,-4459.0,41.3,113.6,32.2118085988414,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']"
2023,Śląskie,25.94,3.6,350.3,7611.38,209577262.63,893965585.49,-4240.0,41.8,111.3,32.2118085988414,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']"
2024,Śląskie,24.24,3.6,347.9,8537.54,223664862.4,1201971783.35,-3953.0,40.3,104.0,32.2118085988414,"['unemployment', 'avg_salary', 'public_safety_exp', 'inflation']"
2021,Świętokrzyskie,18.85,8.7,101.4,5262.19,87894028.62,452617037.66,-1628.0,29.7,105.5,23.51926485313038,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']"
2022,Świętokrzyskie,19.77,7.8,100.6,5782.6,101449053.82,483720934.29,-1297.0,35.7,115.7,23.51926485313038,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']"
2023,Świętokrzyskie,17.21,7.8,99.8,6585.16,112234787.11,570140081.5,-1118.0,36.1,110.5,23.51926485313038,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']"
2024,Świętokrzyskie,15.52,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,22.25045329661317,"['unemployment', 'avg_salary', 'migration_balance', 'inflation']"
