year,unit,crime,unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,predicted_crime,R2,MAE,RMSE,MAPE,Model
2021,Małopolskie,20.35,5.0,225.9,6046.95,129915598.06,918239006.37,3929.0,33.2,105.9,22.05974686507937,0.04859400562453975,1.3092444642857153,1.514313090746378,6.090356169063154,RandomForest
2022,Małopolskie,21.89,4.4,225.8,6824.68,444233936.8,1035061645.9,3336.0,46.2,114.9,21.973193492063498,0.04859400562453975,1.3092444642857153,1.514313090746378,6.090356169063154,RandomForest
2023,Małopolskie,20.88,4.2,225.9,7736.56,386648117.23,1251117729.46,3196.0,49.1,111.8,22.9968123015873,0.04859400562453975,1.3092444642857153,1.514313090746378,6.090356169063154,RandomForest
2024,Małopolskie,24.39,4.2,225.8,8818.71,342078501.99,1534442809.85,3230.0,50.7,104.2,23.062774801587306,0.04859400562453975,1.3092444642857153,1.514313090746378,6.090356169063154,RandomForest
2021,Opolskie,18.16,6.4,100.8,5492.82,78556993.1,347936182.76,-174.0,27.8,105.2,18.504400198412696,-4.03589704767196,1.2422501984126963,1.3822857023627146,7.338281721670256,RandomForest
2022,Opolskie,17.34,5.9,100.1,6134.18,97671628.34,371006158.43,-144.0,34.8,115.8,18.478200198412697,-4.03589704767196,1.2422501984126963,1.3822857023627146,7.338281721670256,RandomForest
2023,Opolskie,16.46,5.9,99.5,6975.81,102665784.53,456242169.66,-116.0,35.3,110.2,18.478200198412697,-4.03589704767196,1.2422501984126963,1.3822857023627146,7.338281721670256,RandomForest
2024,Opolskie,17.01,5.9,98.8,7958.35,124741650.6,587136992.42,-77.0,35.3,102.8,18.478200198412697,-4.03589704767196,1.2422501984126963,1.3822857023627146,7.338281721670256,RandomForest
2021,Podkarpackie,13.91,9.9,116.9,5172.11,124396431.38,734183577.16,-1114.0,26.0,104.6,14.281123174603172,-0.8328621148851798,1.0974700198412717,1.2867596347594141,9.187520911247713,RandomForest
2022,Podkarpackie,12.93,8.8,116.5,5662.53,137919822.49,807581492.46,-736.0,40.5,113.6,13.419585634920638,-0.8328621148851798,1.0974700198412717,1.2867596347594141,9.187520911247713,RandomForest
2023,Podkarpackie,11.56,8.7,116.1,6436.15,156610495.04,947573144.25,-998.0,40.3,111.5,13.419585634920638,-0.8328621148851798,1.0974700198412717,1.2867596347594141,9.187520911247713,RandomForest
2024,Podkarpackie,11.75,8.7,115.6,7514.69,185553003.34,1197186864.32,-702.0,35.8,104.0,13.419585634920638,-0.8328621148851798,1.0974700198412717,1.2867596347594141,9.187520911247713,RandomForest
2021,Podlaskie,15.55,7.8,56.9,5412.89,60118186.05,224278166.12,-1112.0,32.6,105.0,15.167586230158731,-0.7135253245264088,1.6190395932539676,2.3525641933475407,8.915324173393659,RandomForest
2022,Podlaskie,19.44,7.0,56.6,6012.94,79859355.91,246294050.9,-1020.0,40.3,114.1,14.932162063492065,-0.7135253245264088,1.6190395932539676,2.3525641933475407,8.915324173393659,RandomForest
2023,Podlaskie,16.18,7.0,56.4,6805.04,84715607.15,296499242.78,-1016.0,37.8,110.8,14.932162063492065,-0.7135253245264088,1.6190395932539676,2.3525641933475407,8.915324173393659,RandomForest
2024,Podlaskie,14.69,6.9,56.1,7850.16,91022208.77,369445815.08,-867.0,34.4,103.3,15.02806873015873,-0.7135253245264088,1.6190395932539676,2.3525641933475407,8.915324173393659,RandomForest
2021,Pomorskie,21.74,5.2,128.7,5994.33,105155092.94,679908908.81,2086.0,37.6,104.9,21.294843174603173,-16.61578043074448,2.4602623015872984,2.9978359999552002,11.125750544317691,RandomForest
2022,Pomorskie,23.25,4.6,128.6,6696.84,130465218.95,750544136.58,2207.0,46.0,113.9,20.857544920634922,-16.61578043074448,2.4602623015872984,2.9978359999552002,11.125750544317691,RandomForest
2023,Pomorskie,22.67,4.6,120.7,7550.99,135074104.41,889386223.4,2483.0,48.1,111.5,24.513103293650783,-16.61578043074448,2.4602623015872984,2.9978359999552002,11.125750544317691,RandomForest
2024,Pomorskie,21.47,4.6,120.7,8620.28,164032483.43,1129225873.03,2788.0,49.6,103.8,26.630334007936508,-16.61578043074448,2.4602623015872984,2.9978359999552002,11.125750544317691,RandomForest
2021,Warmińsko-Mazurskie,18.41,9.1,56.9,5126.75,95404832.85,556076377.05,-2659.0,34.9,105.3,19.43890587301588,-0.14933131188351245,0.933734583333333,1.0107339593422489,4.7877852227867725,RandomForest
2022,Warmińsko-Mazurskie,19.85,8.6,56.5,5674.89,107521520.37,619791513.19,-2449.0,36.3,113.9,19.414590873015882,-0.14933131188351245,0.933734583333333,1.0107339593422489,4.7877852227867725,RandomForest
2023,Warmińsko-Mazurskie,18.64,8.3,56.2,6447.09,120263823.83,704486643.42,-2602.0,37.3,111.5,19.414590873015882,-0.14933131188351245,0.933734583333333,1.0107339593422489,4.7877852227867725,RandomForest
2024,Warmińsko-Mazurskie,20.74,8.3,55.8,7529.41,147134079.59,915025579.88,-2552.0,38.2,102.9,19.243967539682547,-0.14933131188351245,0.933734583333333,1.0107339593422489,4.7877852227867725,RandomForest
2021,Wielkopolskie,19.26,3.2,117.3,5379.43,180510691.0,1130459045.35,1217.0,27.8,105.3,18.07190484126984,-4.257689816019293,0.7132835912698443,0.7888892009718066,3.769153028268868,RandomForest
2022,Wielkopolskie,18.9,2.9,117.1,6019.68,209603532.0,1276096808.97,910.0,36.2,115.2,18.038710079365075,-4.257689816019293,0.7132835912698443,0.7888892009718066,3.769153028268868,RandomForest
2023,Wielkopolskie,18.36,3.0,116.9,6772.06,232039366.13,1547079705.73,879.0,35.5,111.6,18.038710079365075,-4.257689816019293,0.7132835912698443,0.7888892009718066,3.769153028268868,RandomForest
2024,Wielkopolskie,18.55,3.0,116.7,7759.22,264407919.65,1904349445.48,487.0,36.9,104.0,18.067540634920633,-4.257689816019293,0.7132835912698443,0.7888892009718066,3.769153028268868,RandomForest
2021,Zachodniopomorskie,24.11,7.3,72.0,5549.85,113503401.31,517842064.35,-224.0,42.8,104.8,25.31841777777777,-6.719885775185167,3.5831643849206305,3.892899500222878,16.78238373022652,RandomForest
2022,Zachodniopomorskie,22.28,6.7,71.6,6169.94,129924047.78,566664133.41,-341.0,49.7,113.1,25.64358492063492,-6.719885775185167,3.5831643849206305,3.892899500222878,16.78238373022652,RandomForest
2023,Zachodniopomorskie,21.27,6.7,71.2,7007.4,137110583.84,656933287.01,-346.0,49.5,112.7,25.826678253968247,-6.719885775185167,3.5831643849206305,3.892899500222878,16.78238373022652,RandomForest
2024,Zachodniopomorskie,20.33,6.8,70.8,8027.37,168983278.63,823042430.42,-35.0,50.9,103.8,25.533976587301584,-6.719885775185167,3.5831643849206305,3.892899500222878,16.78238373022652,RandomForest
2021,Łódzkie,22.8,6.1,131.5,5622.29,135597293.59,725060690.62,-2056.0,23.8,105.5,18.709070476190472,-1.7392540799543732,1.9076132738095257,2.388419557472888,8.828752930685944,RandomForest
2022,Łódzkie,19.38,5.5,130.5,6210.68,152121459.94,762140366.63,-1755.0,38.2,116.1,18.68621214285714,-1.7392540799543732,1.9076132738095257,2.388419557472888,8.828752930685944,RandomForest
2023,Łódzkie,20.99,5.4,129.7,7052.93,168504849.2,891190542.9,-1942.0,36.3,110.7,18.68621214285714,-1.7392540799543732,1.9076132738095257,2.388419557472888,8.828752930685944,RandomForest
2024,Łódzkie,19.24,5.4,128.8,8096.32,202131259.06,1156752651.89,-1942.0,36.2,103.0,18.69805214285714,-1.7392540799543732,1.9076132738095257,2.388419557472888,8.828752930685944,RandomForest
2021,Śląskie,27.59,4.3,354.8,5907.84,119135452.61,727844451.7,-4555.0,29.7,105.0,26.024423531746038,-0.5931065145698924,3.390758182720054,5.223024751005239,10.451173287423584,RandomForest
2022,Śląskie,35.08,3.7,352.4,6727.57,227424582.51,784976274.63,-4459.0,41.3,113.6,24.831588737373746,-0.5931065145698924,3.390758182720054,5.223024751005239,10.451173287423584,RandomForest
2023,Śląskie,25.94,3.6,350.3,7611.38,209577262.63,893965585.49,-4240.0,41.8,111.3,24.831588737373746,-0.5931065145698924,3.390758182720054,5.223024751005239,10.451173287423584,RandomForest
2024,Śląskie,24.24,3.6,347.9,8537.54,223664862.4,1201971783.35,-3953.0,40.3,104.0,24.880633737373746,-0.5931065145698924,3.390758182720054,5.223024751005239,10.451173287423584,RandomForest
2021,Świętokrzyskie,18.85,8.7,101.4,5262.19,87894028.62,452617037.66,-1628.0,29.7,105.5,17.492193611111105,-0.03884690000959501,1.4473979166666675,1.6532627179760697,8.091805629998985,RandomForest
2022,Świętokrzyskie,19.77,7.8,100.6,5782.6,101449053.82,483720934.29,-1297.0,35.7,115.7,17.41550194444444,-0.03884690000959501,1.4473979166666675,1.6532627179760697,8.091805629998985,RandomForest
2023,Świętokrzyskie,17.21,7.8,99.8,6585.16,112234787.11,570140081.5,-1118.0,36.1,110.5,17.41550194444444,-0.03884690000959501,1.4473979166666675,1.6532627179760697,8.091805629998985,RandomForest
2024,Świętokrzyskie,15.52,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,17.391785277777775,-0.03884690000959501,1.4473979166666675,1.6532627179760697,8.091805629998985,RandomForest
